               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11012,            0.031056,                   0,           0.0047845,             0.68519,            0.020559,           0.0052466,            0.077898,            0.028525,                   0,            0.070259,           0.0033046,           0.0033046
                   1,            0.071681,            0.029233,                   0,             0.52883,             0.58642,             0.51699,             0.17394,            0.062585,            0.017314,                   0,            0.040193,           0.0065722,           0.0065722
                   2,            0.065764,            0.021043,                   0,             0.47744,             0.65986,              0.5244,             0.18947,            0.053268,            0.015968,                   0,            0.010061,           0.0097738,           0.0097738
                   3,            0.058642,            0.019533,                   0,             0.73971,             0.74849,             0.76265,             0.28352,            0.047874,            0.014219,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.050941,             0.01741,                   0,              0.7095,             0.73663,             0.77612,             0.31725,            0.045747,            0.012781,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.047866,            0.016918,                   0,             0.85578,             0.86214,             0.89961,             0.43663,            0.041251,            0.012129,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.044451,            0.016014,                   0,             0.88735,             0.90535,             0.94415,             0.50385,            0.034877,            0.011661,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.042921,            0.015126,                   0,             0.89822,              0.9079,             0.92913,             0.47469,            0.035232,            0.011601,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.040067,            0.014412,                   0,             0.89198,             0.90048,             0.94633,             0.51206,            0.037031,            0.011191,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039708,            0.014049,                   0,             0.93042,             0.90798,             0.95256,             0.51579,            0.032952,            0.010854,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.03907,              0.0146,                   0,             0.92171,             0.92593,             0.96428,             0.53029,            0.033662,            0.010653,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038641,            0.014245,                   0,             0.93906,             0.88775,             0.95838,             0.54932,            0.031985,            0.010685,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036708,            0.014404,                   0,             0.93121,             0.91564,             0.97038,             0.57228,             0.03056,            0.010312,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.036626,            0.013894,                   0,             0.91992,             0.92183,             0.94837,             0.53708,            0.031029,             0.01039,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.034755,            0.013424,                   0,             0.91816,             0.93416,             0.95616,             0.52434,            0.034131,            0.010614,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.035331,            0.013643,                   0,             0.91435,              0.9445,             0.96005,             0.53244,            0.032728,            0.010283,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.034245,            0.012992,                   0,             0.95388,             0.89375,             0.96873,             0.57429,            0.029581,            0.010281,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.034567,            0.013454,                   0,             0.94273,             0.91975,             0.96486,             0.53531,            0.032693,             0.01022,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.034389,            0.013548,                   0,             0.93904,             0.91923,             0.96551,             0.55365,            0.031371,            0.010127,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.033136,            0.012805,                   0,             0.91619,             0.94474,             0.96446,             0.53783,            0.032167,             0.01011,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.033497,            0.012939,                   0,              0.9222,             0.95117,             0.97191,             0.56344,            0.030051,            0.010034,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.032288,            0.012813,                   0,             0.95162,             0.93095,             0.97581,             0.57085,            0.029654,           0.0099296,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.030962,            0.012779,                   0,             0.95406,             0.94008,             0.97534,             0.58602,            0.027734,           0.0097865,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.03084,            0.013231,                   0,             0.94628,             0.94444,             0.97447,              0.5968,            0.027883,           0.0097064,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031897,            0.012319,                   0,             0.94038,             0.95473,             0.97648,             0.60309,            0.027225,           0.0096868,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.031231,            0.012551,                   0,             0.93581,             0.95993,             0.97998,             0.60059,            0.027152,           0.0097064,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.03097,            0.012412,                   0,             0.95174,             0.93335,             0.98085,             0.61713,            0.026433,           0.0095366,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.02977,            0.012219,                   0,             0.95221,             0.93827,             0.98017,             0.58692,            0.029111,           0.0097958,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.030037,            0.012299,                   0,             0.94449,             0.95267,             0.97935,             0.59059,            0.028163,           0.0097292,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030517,            0.012239,                   0,             0.93338,             0.96296,             0.97445,             0.61073,            0.027203,           0.0097002,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.028617,             0.01208,                   0,              0.9498,             0.94444,              0.9802,             0.62303,            0.026502,           0.0094077,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.029021,            0.012169,                   0,             0.95392,             0.93416,             0.97501,             0.62015,            0.026832,            0.009619,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.029909,            0.012358,                   0,             0.95203,             0.93924,             0.97666,             0.61193,            0.026787,           0.0094124,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.029288,             0.01203,                   0,             0.95996,             0.94239,             0.97875,             0.61379,            0.026296,           0.0095411,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.028946,            0.012289,                   0,              0.9489,             0.95267,             0.97778,             0.60357,            0.027289,            0.009586,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.028298,            0.011872,                   0,             0.94174,             0.94856,             0.97234,             0.57331,            0.028227,           0.0097231,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.027797,            0.011797,                   0,              0.9513,             0.95267,             0.98023,             0.61634,            0.026475,            0.009395,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.028113,            0.011502,                   0,             0.94607,             0.94444,             0.97322,              0.6057,            0.026609,           0.0095495,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.028635,            0.012109,                   0,             0.94882,             0.93416,              0.9767,             0.60197,            0.027199,           0.0095872,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.027446,            0.011584,                   0,             0.93529,             0.95172,             0.97545,             0.61425,            0.026754,           0.0094282,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02801,            0.011931,                   0,             0.95379,             0.94033,             0.97559,             0.61805,            0.026621,            0.009599,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026885,            0.011241,                   0,             0.95706,             0.94856,             0.97602,             0.61481,            0.026869,           0.0094779,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.027045,            0.011283,                   0,             0.95289,             0.95719,             0.98034,             0.63294,            0.025731,           0.0094688,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026964,              0.0111,                   0,             0.96824,             0.94087,             0.97858,             0.61448,            0.026506,           0.0095278,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026638,            0.011543,                   0,             0.95018,             0.94183,               0.972,             0.62014,            0.025873,           0.0096116,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026337,            0.011505,                   0,             0.95098,              0.9581,             0.98173,             0.62957,            0.025923,           0.0094004,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027172,            0.011075,                   0,             0.94458,             0.96708,             0.98001,             0.63405,            0.025329,            0.009213,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.026261,            0.011158,                   0,             0.95079,             0.96296,             0.98157,             0.63131,            0.025445,           0.0092747,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026478,            0.011463,                   0,             0.94441,             0.96502,             0.98335,             0.65001,            0.024882,             0.00903,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.026632,            0.010889,                   0,             0.94345,             0.96119,             0.97919,             0.63632,            0.025719,            0.009372,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025899,            0.011435,                   0,             0.97221,             0.93568,             0.97842,             0.62891,            0.025875,           0.0094547,                   0,            0.005149,            0.005149,            0.005149
                  51,              0.0255,            0.011176,                   0,             0.95424,             0.94401,             0.97874,             0.64369,            0.025082,           0.0093646,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.026347,            0.011316,                   0,             0.95055,             0.96296,             0.98215,             0.64185,            0.025362,           0.0091017,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026047,            0.011578,                   0,             0.95486,             0.95062,             0.97997,             0.63217,            0.025892,           0.0091213,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025237,            0.010969,                   0,              0.9525,             0.94908,             0.97633,             0.62854,            0.026058,           0.0092278,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02517,            0.010815,                   0,             0.95718,             0.95473,             0.97717,             0.64966,            0.024674,            0.009271,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025121,            0.010656,                   0,              0.9584,             0.95267,             0.97899,             0.63699,            0.025191,           0.0092231,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025929,            0.011371,                   0,             0.93606,             0.96708,             0.97848,             0.63106,            0.025599,           0.0090959,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025035,            0.010624,                   0,             0.96472,             0.95638,             0.98066,             0.64498,             0.02472,           0.0092979,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024875,            0.010953,                   0,             0.94542,             0.95267,              0.9783,             0.63989,             0.02522,           0.0091813,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.02476,            0.010825,                   0,             0.95861,             0.95679,             0.97853,              0.6382,            0.024942,           0.0092231,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.025464,            0.011368,                   0,              0.9546,             0.95188,             0.98009,             0.63679,            0.025132,           0.0091845,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.02458,            0.011133,                   0,             0.95316,             0.96302,             0.98408,             0.65602,            0.024526,           0.0090096,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023762,            0.010573,                   0,             0.95474,             0.95481,             0.98055,             0.64299,            0.025217,           0.0090908,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.025051,            0.010762,                   0,             0.95414,             0.95885,             0.98402,             0.64751,              0.0248,           0.0090954,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02458,            0.011133,                   0,               0.953,             0.95267,             0.97986,             0.64979,            0.024698,           0.0092601,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.024325,            0.010693,                   0,             0.95098,             0.95792,             0.98189,             0.63858,            0.025162,           0.0092219,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.024041,            0.010717,                   0,             0.95252,             0.96091,             0.97812,             0.64209,            0.024821,           0.0091808,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023984,            0.010423,                   0,             0.96074,             0.94856,             0.97976,             0.65049,            0.024854,           0.0092753,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024003,            0.010727,                   0,             0.95072,             0.95265,             0.97791,             0.64694,             0.02489,           0.0091443,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023997,              0.0108,                   0,             0.95507,              0.9623,             0.97982,             0.64722,            0.024916,           0.0091042,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023348,              0.0105,                   0,             0.96245,             0.94931,              0.9772,             0.63836,            0.025411,           0.0092623,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023647,            0.010656,                   0,             0.95662,             0.96502,             0.98092,             0.65234,            0.024597,           0.0091082,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023235,            0.010075,                   0,             0.96153,             0.95267,             0.97614,             0.64902,            0.024616,           0.0091706,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023807,            0.010652,                   0,             0.95471,             0.95421,             0.97838,              0.6462,            0.024997,           0.0092372,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022694,            0.010153,                   0,             0.94739,             0.96339,             0.97544,             0.64838,            0.024815,           0.0091315,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02335,            0.010175,                   0,              0.9583,             0.96091,             0.97859,             0.65098,            0.024712,           0.0090764,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023635,            0.010119,                   0,             0.96471,             0.95623,             0.97729,             0.64761,            0.024899,           0.0092835,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.023391,            0.010215,                   0,             0.95755,             0.95679,             0.97895,             0.65193,            0.024716,           0.0091504,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022831,            0.010199,                   0,             0.95874,             0.95629,             0.97744,             0.64613,            0.024683,           0.0092049,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022926,            0.010005,                   0,             0.95544,             0.95062,             0.97413,             0.64925,            0.024827,           0.0093311,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.022839,            0.010364,                   0,             0.95789,             0.96296,             0.97901,             0.66097,            0.024295,           0.0091611,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.022821,            0.010134,                   0,             0.96076,             0.95715,             0.97647,             0.65432,            0.024428,           0.0093152,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.023021,            0.010425,                   0,             0.96092,             0.96132,             0.97964,             0.65731,            0.024464,           0.0091197,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.02277,              0.0103,                   0,             0.95551,             0.95679,              0.9788,             0.65914,            0.024466,           0.0093057,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.022441,            0.009825,                   0,             0.95211,             0.95679,             0.98013,             0.65574,            0.024484,           0.0092504,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.02247,            0.010258,                   0,             0.95684,             0.95062,             0.97696,             0.65275,            0.024325,           0.0092817,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.022443,            0.010524,                   0,             0.95644,             0.94873,             0.97835,              0.6558,            0.024343,           0.0091521,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.022147,            0.010585,                   0,             0.95652,             0.95679,             0.97973,             0.65635,            0.024288,           0.0092109,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.022983,            0.010355,                   0,             0.95595,             0.95062,             0.98027,             0.65932,             0.02417,           0.0092866,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.022291,            0.010302,                   0,             0.95677,             0.95623,             0.97977,             0.66001,            0.024357,           0.0092722,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.022344,            0.010146,                   0,             0.94999,             0.95473,             0.97863,              0.6576,            0.024219,           0.0092081,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021666,            0.010019,                   0,             0.95326,             0.95473,             0.97798,             0.66273,            0.024002,           0.0091743,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.021934,           0.0096665,                   0,             0.95856,             0.96502,             0.98114,             0.66089,            0.024034,           0.0090736,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021945,           0.0099813,                   0,             0.96286,             0.96027,             0.98054,             0.66558,            0.023749,           0.0091189,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.021559,           0.0099299,                   0,             0.94929,             0.96301,             0.97794,             0.66156,            0.024007,            0.009161,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.022254,            0.010046,                   0,             0.95904,             0.96343,             0.98132,             0.65996,            0.023977,           0.0091318,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021796,           0.0098187,                   0,             0.95647,             0.96296,             0.97831,             0.65956,            0.023861,           0.0091182,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021556,            0.009756,                   0,             0.95676,             0.95618,              0.9792,             0.66252,            0.023925,           0.0091366,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.021072,           0.0097428,                   0,             0.95569,             0.95885,             0.97983,             0.66194,            0.023826,           0.0090894,                   0,            0.000298,            0.000298,            0.000298
